example_id                                       | status  | run_time        |
------------------------------------------------ | ------- | --------------- |
./spec/helpers/musicians_helper_spec.rb[1:1]     | pending | 0.00001 seconds |
./spec/models/local_musician_spec.rb[1:1:1]      | passed  | 0.00947 seconds |
./spec/models/local_musician_spec.rb[1:1:2]      | passed  | 0.01132 seconds |
./spec/models/local_musician_spec.rb[1:1:3]      | passed  | 0.00854 seconds |
./spec/models/local_musician_spec.rb[1:1:4]      | passed  | 0.0078 seconds  |
./spec/models/local_musician_spec.rb[1:1:5]      | passed  | 0.03831 seconds |
./spec/models/local_musician_spec.rb[1:2:1]      | passed  | 0.00879 seconds |
./spec/requests/musicians_request_spec.rb[1:1:1] | passed  | 0.0771 seconds  |
./spec/requests/musicians_request_spec.rb[1:2:1] | passed  | 0.01615 seconds |
./spec/requests/musicians_request_spec.rb[1:3:1] | passed  | 0.02991 seconds |
